
09-02-2018 18:01:06:200 - I: 	Player Command DoNothingCommand failed because There was a problem during the placement of player's Adam ganteng ships (DoNothing), the round will be played over
09-02-2018 18:01:06:216 - I: 	The first round has failed due to a bot's ships not all being placed
09-02-2018 18:01:07:188 - I: 	Bot has failed to place ships in the last 5 rounds and will be killed off
09-02-2018 18:01:07:188 - D: 	Executing bot with following commands python.exe "bot.py" B "F:\Adam\ITB\Semester 4\IF2211 - Strategi Algoritma\Tubes\battleship-greedy-santuy\Game Engine -  Version 1.2.2\Game Engine\Replays\2018-02-09 18-00-56-575\Phase 1 - Round 5\B"
09-02-2018 18:01:07:188 - I: 	Executing process python.exe "bot.py" B "F:\Adam\ITB\Semester 4\IF2211 - Strategi Algoritma\Tubes\battleship-greedy-santuy\Game Engine -  Version 1.2.2\Game Engine\Replays\2018-02-09 18-00-56-575\Phase 1 - Round 5\B"
09-02-2018 18:01:07:235 - I: 	Bot has 4000ms to run before it will be forcefully killed
09-02-2018 18:01:07:392 - E: 	Output from bot:   File "bot.py", line 72
09-02-2018 18:01:07:392 - E: 	Output from bot:     json.dump(lastShot,f_out)
09-02-2018 18:01:07:392 - E: 	Output from bot:                             ^
09-02-2018 18:01:07:392 - E: 	Output from bot: TabError: inconsistent use of tabs and spaces in indentation
09-02-2018 18:01:07:392 - E: 	Output from bot: 
09-02-2018 18:01:07:392 - I: 	Output from bot: 
09-02-2018 18:01:07:392 - I: 	Your bots total execution time was 00:00:00.2001414
