
09-02-2018 18:07:19:340 - I: 	Executing process python.exe "" B "F:\Adam\ITB\Semester 4\IF2211 - Strategi Algoritma\Tubes\battleship-greedy-santuy\Game Engine -  Version 1.2.2\Game Engine\Replays\2018-02-09 18-07-17-355\Phase 1 - Round 0\B"
09-02-2018 18:07:19:574 - I: 	Bot calibration complete and can run an additional 231ms due to environment startup
09-02-2018 18:07:19:574 - D: 	Executing bot with following commands python.exe "bot.py" B "F:\Adam\ITB\Semester 4\IF2211 - Strategi Algoritma\Tubes\battleship-greedy-santuy\Game Engine -  Version 1.2.2\Game Engine\Replays\2018-02-09 18-07-17-355\Phase 1 - Round 0\B"
09-02-2018 18:07:19:574 - I: 	Executing process python.exe "bot.py" B "F:\Adam\ITB\Semester 4\IF2211 - Strategi Algoritma\Tubes\battleship-greedy-santuy\Game Engine -  Version 1.2.2\Game Engine\Replays\2018-02-09 18-07-17-355\Phase 1 - Round 0\B"
09-02-2018 18:07:19:590 - I: 	Bot has 4000ms to run before it will be forcefully killed
09-02-2018 18:07:19:746 - E: 	Output from bot:   File "bot.py", line 71
09-02-2018 18:07:19:746 - E: 	Output from bot:     json.dump(lastShot,f_out)
09-02-2018 18:07:19:746 - E: 	Output from bot:                             ^
09-02-2018 18:07:19:746 - E: 	Output from bot: TabError: inconsistent use of tabs and spaces in indentation
09-02-2018 18:07:19:746 - E: 	Output from bot: 
09-02-2018 18:07:19:746 - I: 	Output from bot: 
09-02-2018 18:07:19:746 - I: 	Your bots total execution time was 00:00:00.1708466
