
11-02-2018 22:28:12:902 - I: 	Loaded bot ..\Reference Bots\Python3
11-02-2018 22:28:12:918 - I: 	Loaded bot ..\..\Our Bot
11-02-2018 22:28:12:918 - I: 	Registered player py3Bot
11-02-2018 22:28:12:918 - I: 	Registered player Stima Santuy
11-02-2018 22:28:12:949 - I: 		OK!
11-02-2018 22:28:14:777 - I: 	Added Command PlaceShipCommand for Player py3Bot
11-02-2018 22:28:15:167 - I: 	Added Command PlaceShipCommand for Player Stima Santuy
11-02-2018 22:28:15:183 - D: 	Beginning round processing
11-02-2018 22:28:15:214 - D: 	Processing Player Commands
11-02-2018 22:28:15:230 - D: 	Killing off players who have no ships left
11-02-2018 22:28:15:230 - D: 	Round processing complete
