
14-02-2018 08:20:09:681 - I: 	Loaded bot ..\Reference Bots\Python3
14-02-2018 08:20:09:689 - I: 	Loaded bot ..\..\Our Bot
14-02-2018 08:20:09:689 - I: 	Registered player py3Bot
14-02-2018 08:20:09:689 - I: 	Registered player Stima Santuy
14-02-2018 08:20:09:721 - I: 		OK!
14-02-2018 08:20:11:065 - I: 	Added Command PlaceShipCommand for Player py3Bot
14-02-2018 08:20:11:293 - I: 	Added Command PlaceShipCommand for Player Stima Santuy
14-02-2018 08:20:11:297 - D: 	Beginning round processing
14-02-2018 08:20:11:301 - D: 	Processing Player Commands
14-02-2018 08:20:11:313 - D: 	Killing off players who have no ships left
14-02-2018 08:20:11:313 - D: 	Round processing complete
